Residual 	 Iterations
1.1628139611443254e-07 	 351
9.536441888862528e-08 	 469
9.681229443033325e-08 	 330
1.104254862591897e-07 	 474
1.2553453543196245e-07 	 343
1.0818902048629514e-07 	 407
9.283434473887595e-08 	 133
1.0622250715824842e-07 	 105
8.531595876386925e-08 	 294
1.0478241661347164e-07 	 370
1.4691430373367924e-07 	 479
1.3853507098589487e-07 	 476
1.4822040510651598e-07 	 416
1.387904497053372e-07 	 310
1.005020774593683e-07 	 455
8.693242379296104e-08 	 371
9.25746449016192e-08 	 404
8.379514210788295e-08 	 282
1.0446136145499308e-07 	 463
1.024819792157347e-07 	 372
1.1272030839354359e-07 	 473
1.3222852277732131e-07 	 279
9.50165989094379e-08 	 143
1.0120173180879146e-07 	 219
9.528857276641452e-08 	 359
1.023702002839393e-07 	 455
9.407047660883258e-08 	 325
1.0150079742784184e-07 	 313
8.723272148975379e-08 	 275
8.751741283651817e-08 	 297
8.158193836396354e-08 	 67
8.134910110925796e-08 	 96
8.845651876280389e-08 	 445
8.882397632893476e-08 	 390
1.2918292603608897e-07 	 259
1.5111347193093688e-07 	 327
1.0791570958682099e-07 	 208
1.1624524705745196e-07 	 238
1.225652771253008e-07 	 311
1.526064280203406e-07 	 468
8.828184520924611e-08 	 386
8.382363702296537e-08 	 264
8.827726133874589e-08 	 449
8.305782636351681e-08 	 316
8.243267742370801e-08 	 498
8.324246360035249e-08 	 62
1.0274853548589785e-07 	 460
8.605783904208659e-08 	 361
9.911491948104373e-08 	 470
9.501174161562651e-08 	 484
8.571374511678203e-08 	 500
9.050045404594468e-08 	 339
8.208200144738103e-08 	 345
9.261871324737746e-08 	 410
9.55327920250544e-08 	 305
1.0151049666067379e-07 	 430
9.377380063887454e-08 	 384
1.0833615320096312e-07 	 479
1.432187334483657e-07 	 467
1.1391308509560581e-07 	 431
1.3160269927287313e-07 	 401
1.3267211583981493e-07 	 405
8.81874954138444e-08 	 452
8.65566352526914e-08 	 264
9.089281100566221e-08 	 210
9.111223387932421e-08 	 283
1.0684219159828264e-07 	 202
1.1183158837985303e-07 	 466
9.550170107561865e-08 	 364
9.75008929162477e-08 	 123
1.0214546713414255e-07 	 462
9.628418571680494e-08 	 325
9.378073475521356e-08 	 470
9.36607885281557e-08 	 492
8.359677383321169e-08 	 84
9.840653667044896e-08 	 421
9.367257544250969e-08 	 372
9.07227620825788e-08 	 481
8.841534888265987e-08 	 323
8.341464330243686e-08 	 409
9.877433822363577e-08 	 478
8.327645574621341e-08 	 193
9.044119425074286e-08 	 486
9.314528626045897e-08 	 287
8.57046329940976e-08 	 495
9.313515688645164e-08 	 423
8.214884267441383e-08 	 391
9.036434181279955e-08 	 442
1.0010909302369231e-07 	 465
8.843997570536757e-08 	 269
8.372383915940438e-08 	 170
9.743329044822913e-08 	 253
1.1039918060305786e-07 	 431
9.44263166424541e-08 	 72
8.83650310136823e-08 	 348
